title,award_class,award_category,name
Mary Poppins,Production,VISUAL EFFECTS,"Peter Ellenshaw, Eustace Lycett, Hamilton Luske"
Mask,Production,MAKEUP AND HAIRSTYLING,"Michael Westmore, Zoltan Elek"
Master and Commander: The Far Side of the World,Production,CINEMATOGRAPHY,Russell Boyd
Master and Commander: The Far Side of the World,Production,SOUND EDITING,Richard King
Maya Lin: A Strong Clear Vision,Title,DOCUMENTARY (Feature),"Freida Lee Mock, Terry Sanders"
Mediterraneo,Title,INTERNATIONAL FEATURE FILM,Italy
Melvin and Howard,Acting,ACTRESS IN A SUPPORTING ROLE,Mary Steenburgen
Melvin and Howard,Writing,WRITING (Original Screenplay),Bo Goldman
Memoirs of a Geisha,Production,ART DIRECTION,Art Direction: John Myhre; Set Decoration: Gretchen Rau
Memoirs of a Geisha,Production,CINEMATOGRAPHY,Dion Beebe
Memoirs of a Geisha,Production,COSTUME DESIGN,Colleen Atwood
Men against the Arctic,Title,DOCUMENTARY (Short Subject),"Walt Disney, Producer"
Men in Black,Production,MAKEUP AND HAIRSTYLING,"Rick Baker, David LeRoy Anderson"
Mephisto,Title,INTERNATIONAL FEATURE FILM,Hungary
Meredith Willson's The Music Man,Music,MUSIC (Original Song Score or Adaptation Score),Ray Heindorf
Michael Clayton,Acting,ACTRESS IN A SUPPORTING ROLE,Tilda Swinton
Midnight Cowboy,Directing,DIRECTING,John Schlesinger
Midnight Cowboy,Title,BEST PICTURE,"Jerome Hellman, Producer"
Midnight Cowboy,Writing,WRITING (Adapted Screenplay),Waldo Salt
Midnight Express,Music,MUSIC (Original Score),Giorgio Moroder
Midnight Express,Writing,WRITING (Adapted Screenplay),Oliver Stone
Midnight in Paris,Writing,WRITING (Original Screenplay),Written by Woody Allen
Mighty Aphrodite,Acting,ACTRESS IN A SUPPORTING ROLE,Mira Sorvino
Mighty Joe Young,Production,VISUAL EFFECTS,ARKO Productions
Mighty Times: The Children's March,Title,DOCUMENTARY (Short Subject),Robert Hudson and Bobby Houston
Mildred Pierce,Acting,ACTRESS,Joan Crawford
Milk,Acting,ACTOR IN A LEADING ROLE,Sean Penn
Milk,Writing,WRITING (Original Screenplay),Written by Dustin Lance Black
Million Dollar Baby,Acting,ACTOR IN A SUPPORTING ROLE,Morgan Freeman
Million Dollar Baby,Acting,ACTRESS IN A LEADING ROLE,Hilary Swank
Million Dollar Baby,Directing,DIRECTING,Clint Eastwood
Million Dollar Baby,Title,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
Min and Bill,Acting,ACTRESS,Marie Dressler
Minari,Acting,ACTRESS IN A SUPPORTING ROLE,Yuh-Jung Youn
Miracle on 34th Street,Acting,ACTOR IN A SUPPORTING ROLE,Edmund Gwenn
Miracle on 34th Street,Writing,WRITING (Original Story),Valentine Davies
Miracle on 34th Street,Writing,WRITING (Screenplay),George Seaton
Misery,Acting,ACTRESS IN A LEADING ROLE,Kathy Bates
Missing,Writing,WRITING (Adapted Screenplay),"Costa-Gavras, Donald Stewart"
Mississippi Burning,Production,CINEMATOGRAPHY,Peter Biziou
Mister Magoo's Puddle Jumper,Title,SHORT FILM (Animated),"Stephen Bosustow, Producer"
Mister Roberts,Acting,ACTOR IN A SUPPORTING ROLE,Jack Lemmon
Molly's Pilgrim,Title,SHORT FILM (Live Action),"Jeff Brown and Chris Pelzer, Producers"
Mona Lisa Descending a Staircase,Title,SHORT FILM (Animated),Joan C. Gratz
Monsieur Vincent,Special,SPECIAL FOREIGN LANGUAGE FILM AWARD,NA
Monster,Acting,ACTRESS IN A LEADING ROLE,Charlize Theron
Monster's Ball,Acting,ACTRESS IN A LEADING ROLE,Halle Berry
"Monsters, Inc.",Music,MUSIC (Original Song),Music and Lyric by Randy Newman
Moonbird,Title,SHORT FILM (Animated),"John Hubley, Producer"
Moonlight,Acting,ACTOR IN A SUPPORTING ROLE,Mahershala Ali
Moonlight,Title,BEST PICTURE,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers"
Moonlight,Writing,WRITING (Adapted Screenplay),Screenplay by Barry Jenkins; Story by Tarell Alvin McCraney
Moonstruck,Acting,ACTRESS IN A LEADING ROLE,Cher
Moonstruck,Acting,ACTRESS IN A SUPPORTING ROLE,Olympia Dukakis
Moonstruck,Writing,WRITING (Original Screenplay),John Patrick Shanley
Morning Glory,Acting,ACTRESS,Katharine Hepburn
Moscow Does Not Believe in Tears,Title,INTERNATIONAL FEATURE FILM,Union of Soviet Socialist Republics
Moscow Strikes Back,Title,DOCUMENTARY (Feature),Artkino
Mother Wore Tights,Music,MUSIC (Original Song Score or Adaptation Score),Alfred Newman
Moulin Rouge,Production,ART DIRECTION (Color),Art Direction: Paul Sheriff; Set Decoration: Marcel Vertes
Moulin Rouge,Production,COSTUME DESIGN (Color),Marcel Vertes
Moulin Rouge,Production,ART DIRECTION,Art Direction: Catherine Martin; Set Decoration: Brigitte Broch
Moulin Rouge,Production,COSTUME DESIGN,"Catherine Martin, Angus Strathie"
Mouse Trouble,Title,SHORT FILM (Animated),"Frederick C. Quimby, Producer"
Mr. Deeds Goes to Town,Directing,DIRECTING,Frank Capra
Mr. Hublot,Title,SHORT FILM (Animated),Laurent Witz and Alexandre Espigares
Mr. Smith Goes to Washington,Writing,WRITING (Original Story),Lewis R. Foster
Mrs. Doubtfire,Production,MAKEUP AND HAIRSTYLING,"Greg Cannom, Ve Neill, Yolanda Toussieng"
Mrs. Miniver,Acting,ACTRESS,Greer Garson
Mrs. Miniver,Acting,ACTRESS IN A SUPPORTING ROLE,Teresa Wright
Mrs. Miniver,Production,CINEMATOGRAPHY (Black-and-White),Joseph Ruttenberg
Mrs. Miniver,Directing,DIRECTING,William Wyler
Mrs. Miniver,Title,BEST PICTURE,Metro-Goldwyn-Mayer
Mrs. Miniver,Writing,WRITING (Screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West"
Munro,Title,SHORT FILM (Animated),"William L. Snyder, Producer"
Murder on a Sunday Morning,Title,DOCUMENTARY (Feature),"Jean-Xavier de Lestrade, Denis Poncet"
Murder on the Orient Express,Acting,ACTRESS IN A SUPPORTING ROLE,Ingrid Bergman
Music by Prudence,Title,DOCUMENTARY (Short Subject),Roger Ross Williams and Elinor Burkett
Mutiny on the Bounty,Title,BEST PICTURE,Metro-Goldwyn-Mayer
My Cousin Vinny,Acting,ACTRESS IN A SUPPORTING ROLE,Marisa Tomei
My Fair Lady,Acting,ACTOR,Rex Harrison
My Fair Lady,Production,ART DIRECTION (Color),"Art Direction: Gene Allen, Cecil Beaton; Set Decoration: George James Hopkins"
My Fair Lady,Production,CINEMATOGRAPHY (Color),Harry Stradling
My Fair Lady,Production,COSTUME DESIGN (Color),Cecil Beaton
My Fair Lady,Directing,DIRECTING,George Cukor
My Fair Lady,Music,MUSIC (Original Song Score or Adaptation Score),Andre Previn
My Fair Lady,Title,BEST PICTURE,"Jack L. Warner, Producer"
My Fair Lady,Production,SOUND,"Warner Bros. Studio Sound Department, George R. Groves, Sound Director"
My Gal Sal,Production,ART DIRECTION (Color),"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
My Left Foot,Acting,ACTOR IN A LEADING ROLE,Daniel Day Lewis
My Left Foot,Acting,ACTRESS IN A SUPPORTING ROLE,Brenda Fricker
My Mother Dreams the Satan's Disciples in New York,Title,SHORT FILM (Live Action),"Barbara Schock, Tammy Tiehel"
My Octopus Teacher,Title,DOCUMENTARY (Feature),"Pippa Ehrlich, James Reed and Craig Foster"
My Uncle,Title,INTERNATIONAL FEATURE FILM,France
Mystic River,Acting,ACTOR IN A LEADING ROLE,Sean Penn
Mystic River,Acting,ACTOR IN A SUPPORTING ROLE,Tim Robbins
Nashville,Music,MUSIC (Original Song),Music and Lyrics by Keith Carradine
National Velvet,Acting,ACTRESS IN A SUPPORTING ROLE,Anne Revere
National Velvet,Production,FILM EDITING,Robert J. Kern
Nature's Half Acre,Title,SHORT SUBJECT (Two-reel),"Walt Disney, Producer"
Naughty Marietta,Production,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
Navalny,Title,DOCUMENTARY (Feature),"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris"
Neighbours,Title,DOCUMENTARY (Short Subject),"Norman McLaren, Producer"
Neptune's Daughter,Music,MUSIC (Original Song),Music and Lyrics by Frank Loesser
Network,Acting,ACTOR IN A LEADING ROLE,Peter Finch
Network,Acting,ACTRESS IN A LEADING ROLE,Faye Dunaway
Network,Acting,ACTRESS IN A SUPPORTING ROLE,Beatrice Straight
Network,Writing,WRITING (Original Screenplay),Paddy Chayefsky
Never on Sunday,Music,MUSIC (Original Song),Music and Lyrics by Manos Hadjidakis
Nicholas and Alexandra,Production,ART DIRECTION,"Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon"
Nicholas and Alexandra,Production,COSTUME DESIGN,"Yvonne Blake, Antonio Castillo"
Nine from Little Rock,Title,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer"
No Country for Old Men,Acting,ACTOR IN A SUPPORTING ROLE,Javier Bardem
No Country for Old Men,Directing,DIRECTING,Joel Coen and Ethan Coen
No Country for Old Men,Title,BEST PICTURE,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
No Country for Old Men,Writing,WRITING (Adapted Screenplay),Written for the screen by Joel Coen & Ethan Coen
No Man's Land,Title,INTERNATIONAL FEATURE FILM,Bosnia & Herzegovina
No Time to Die,Music,MUSIC (Original Song),Music and Lyric by Billie Eilish and Finneas O'Connell
Nomadland,Acting,ACTRESS IN A LEADING ROLE,Frances McDormand
Nomadland,Directing,DIRECTING,Chloé Zhao
Nomadland,Title,BEST PICTURE,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey and Chloé Zhao, Producers"
None but the Lonely Heart,Acting,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore
Norma Rae,Acting,ACTRESS IN A LEADING ROLE,Sally Field
Norma Rae,Music,MUSIC (Original Song),Music by David Shire; Lyric by Norman Gimbel
Norman Rockwell's World...An American Dream,Title,SHORT FILM (Live Action),"Richard Barclay, Producer"
North West Mounted Police,Production,FILM EDITING,Anne Bauchens
"Now, Voyager",Music,MUSIC (Original Score),Max Steiner
Nowhere in Africa,Title,INTERNATIONAL FEATURE FILM,Germany
Number Our Days,Title,DOCUMENTARY (Short Subject),"Lynne Littman, Producer"
O.J.: Made in America,Title,DOCUMENTARY (Feature),Ezra Edelman and Caroline Waterlow
Of Pups and Puzzles,Title,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer
Oklahoma!,Music,MUSIC (Original Song Score or Adaptation Score),"Robert Russell Bennett, Jay Blackton, Adolph Deutsch"
Oklahoma!,Production,SOUND RECORDING,"Todd-AO Sound Department, Fred Hynes, Sound Director"
Oliver!,Production,ART DIRECTION,"Art Direction: John Box, Terence Marsh; Set Decoration: Vernon Dixon, Ken Muggleston"
Oliver!,Directing,DIRECTING,Carol Reed
Oliver!,Music,MUSIC (Original Song Score or Adaptation Score),Adaptation score by John Green
Oliver!,Title,BEST PICTURE,"John Woolf, Producer"
Oliver!,Production,SOUND,Shepperton Studio Sound Department
Omnibus,Title,SHORT FILM (Live Action),Sam Karmann
On Golden Pond,Acting,ACTOR IN A LEADING ROLE,Henry Fonda
On Golden Pond,Acting,ACTRESS IN A LEADING ROLE,Katharine Hepburn
On Golden Pond,Writing,WRITING (Adapted Screenplay),Ernest Thompson
On the Town,Music,MUSIC (Original Song Score or Adaptation Score),"Roger Edens, Lennie Hayton"
On the Waterfront,Acting,ACTOR,Marlon Brando
On the Waterfront,Acting,ACTRESS IN A SUPPORTING ROLE,Eva Marie Saint
On the Waterfront,Production,ART DIRECTION (Black-and-White),Richard Day
On the Waterfront,Production,CINEMATOGRAPHY (Black-and-White),Boris Kaufman
On the Waterfront,Directing,DIRECTING,Elia Kazan
On the Waterfront,Production,FILM EDITING,Gene Milford
On the Waterfront,Title,BEST PICTURE,"Sam Spiegel, Producer"
On the Waterfront,Writing,WRITING (Original Screenplay),Budd Schulberg
Once,Music,MUSIC (Original Song),Music and Lyric by Glen Hansard and Marketa Irglova
Once upon a Time...in Hollywood,Acting,ACTOR IN A SUPPORTING ROLE,Brad Pitt
Once upon a Time...in Hollywood,Production,PRODUCTION DESIGN,Production Design: Barbara Ling; Set Decoration: Nancy Haigh
One Day in September,Title,DOCUMENTARY (Feature),"Arthur Cohn, Kevin Macdonald"
One Flew over the Cuckoo's Nest,Acting,ACTOR,Jack Nicholson
One Flew over the Cuckoo's Nest,Acting,ACTRESS,Louise Fletcher
One Flew over the Cuckoo's Nest,Directing,DIRECTING,Milos Forman
One Flew over the Cuckoo's Nest,Title,BEST PICTURE,"Saul Zaentz and Michael Douglas, Producers"
One Flew over the Cuckoo's Nest,Writing,WRITING (Adapted Screenplay),"Lawrence Hauben, Bo Goldman"
One Hundred Men and a Girl,Music,MUSIC (Scoring),"Universal Studio Music Department, Charles Previn, head of department (no composer credit)"
One Night of Love,Music,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)"
One Night of Love,Production,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director"
One Night of Love,SciTech,SCIENTIFIC OR TECHNICAL AWARD (Class III),NA
One Survivor Remembers,Title,DOCUMENTARY (Short Subject),Kary Antholis
One Way Passage,Writing,WRITING (Original Story),Robert Lord
One-Eyed Men Are Kings,Title,SHORT FILM (Live Action),"Paul Claudon and Edmond Sechan, Producers"
Oppenheimer,Acting,ACTOR IN A LEADING ROLE,Cillian Murphy
Oppenheimer,Acting,ACTOR IN A SUPPORTING ROLE,Robert Downey Jr.
Oppenheimer,Production,CINEMATOGRAPHY,Hoyte van Hoytema
Oppenheimer,Directing,DIRECTING,Christopher Nolan
Oppenheimer,Production,FILM EDITING,Jennifer Lame
Oppenheimer,Music,MUSIC (Original Score),Ludwig Göransson
Oppenheimer,Title,BEST PICTURE,"Emma Thomas, Charles Roven and Christopher Nolan, Producers"
Ordinary People,Acting,ACTOR IN A SUPPORTING ROLE,Timothy Hutton
Ordinary People,Directing,DIRECTING,Robert Redford
Ordinary People,Title,BEST PICTURE,"Ronald L. Schwary, Producer"
Ordinary People,Writing,WRITING (Adapted Screenplay),Alvin Sargent
Out of Africa,Production,ART DIRECTION,Art Direction: Stephen Grimes; Set Decoration: Josie MacAvin
Out of Africa,Production,CINEMATOGRAPHY,David Watkin
Out of Africa,Directing,DIRECTING,Sydney Pollack
Out of Africa,Music,MUSIC (Original Score),John Barry
Out of Africa,Title,BEST PICTURE,"Sydney Pollack, Producer"
Out of Africa,Production,SOUND,"Chris Jenkins, Gary Alexander, Larry Stensvold, Peter Handford"
Out of Africa,Writing,WRITING (Adapted Screenplay),Kurt Luedtke
Pan's Labyrinth,Production,ART DIRECTION,Art Direction: Eugenio Caballero; Set Decoration: Pilar Revuelta
Pan's Labyrinth,Production,CINEMATOGRAPHY,Guillermo Navarro
Pan's Labyrinth,Production,MAKEUP AND HAIRSTYLING,David Martí and Montse Ribé
Panic in the Streets,Writing,WRITING (Original Story),"Edna Anhalt, Edward Anhalt"
Papa's Delicate Condition,Music,MUSIC (Original Song),Music by James Van Heusen; Lyrics by Sammy Cahn
Paper Moon,Acting,ACTRESS IN A SUPPORTING ROLE,Tatum O'Neal
Paperman,Title,SHORT FILM (Animated),John Kahrs
Parasite,Directing,DIRECTING,Bong Joon Ho
Parasite,Title,INTERNATIONAL FEATURE FILM,South Korea
Parasite,Title,BEST PICTURE,"Kwak Sin Ae and Bong Joon Ho, Producers"
Parasite,Writing,WRITING (Original Screenplay),"Screenplay by Bong Joon Ho, Han Jin Won; Story by Bong Joon Ho"
Patton,Acting,ACTOR,George C. Scott
Patton,Production,ART DIRECTION,"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet"
Patton,Directing,DIRECTING,Franklin J. Schaffner
Patton,Production,FILM EDITING,Hugh S. Fowler
Patton,Title,BEST PICTURE,"Frank McCarthy, Producer"
Patton,Production,SOUND,"Douglas Williams, Don Bassman"
Patton,Writing,WRITING (Original Screenplay),"Francis Ford Coppola, Edmund H. North"
Paul Robeson: Tribute to an Artist,Title,DOCUMENTARY (Short Subject),"Saul J. Turell, Producer"
Pearl Harbor,Production,SOUND EDITING,"George Watters II, Christopher Boyes"
Pelle the Conqueror,Title,INTERNATIONAL FEATURE FILM,Denmark
Penny Wisdom,Title,SHORT SUBJECT (Color),"Pete Smith, Producer"
Period. End of Sentence.,Title,DOCUMENTARY (Short Subject),Rayka Zehtabchi and Melissa Berton
Peter & the Wolf,Title,SHORT FILM (Animated),Suzie Templeton and Hugh Welchman
Phantom Thread,Production,COSTUME DESIGN,Mark Bridges
Phantom of the Opera,Production,ART DIRECTION (Color),"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
Phantom of the Opera,Production,CINEMATOGRAPHY (Color),"Hal Mohr, W. Howard Greene"
Philadelphia,Acting,ACTOR IN A LEADING ROLE,Tom Hanks
Philadelphia,Music,MUSIC (Original Song),Music and Lyric by Bruce Springsteen
Picnic,Production,ART DIRECTION (Color),"Art Direction: William Flannery, Jo Mielziner; Set Decoration: Robert Priestley"
Picnic,Production,FILM EDITING,"Charles Nelson, William A. Lyon"
Pillow Talk,Writing,WRITING (Original Screenplay),"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin"
Pinocchio,Music,MUSIC (Original Score),"Leigh Harline, Paul J. Smith, Ned Washington"
Pinocchio,Music,MUSIC (Original Song),Music by Leigh Harline; Lyrics by Ned Washington
Piper,Title,SHORT FILM (Animated),Alan Barillaro and Marc Sondheimer
Pirates of the Caribbean: Dead Man's Chest,Production,VISUAL EFFECTS,"John Knoll, Hal Hickel, Charles Gibson and Allen Hall"
Places in the Heart,Acting,ACTRESS IN A LEADING ROLE,Sally Field
Places in the Heart,Writing,WRITING (Original Screenplay),Robert Benton
Planet of the Apes,Special,HONORARY AWARD,NA
Platoon,Directing,DIRECTING,Oliver Stone
Platoon,Production,FILM EDITING,Claire Simpson
Platoon,Title,BEST PICTURE,"Arnold Kopelson, Producer"
Platoon,Production,SOUND,"John K. Wilkinson, Richard Rogers, Charles 'Bud' Grenzbach, Simon Kaye"
Plymouth Adventure,Production,VISUAL EFFECTS,Metro-Goldwyn-Mayer
Pocahontas,Music,MUSIC (Original Song Score or Adaptation Score),Music by Alan Menken; Lyrics by Stephen Schwartz; Orchestral Score by Alan Menken
Pocahontas,Music,MUSIC (Original Song),Music by Alan Menken; Lyric by Stephen Schwartz
Pollock,Acting,ACTRESS IN A SUPPORTING ROLE,Marcia Gay Harden
Poor Things,Acting,ACTRESS IN A LEADING ROLE,Emma Stone
Poor Things,Production,COSTUME DESIGN,Holly Waddington
Poor Things,Production,MAKEUP AND HAIRSTYLING,"Nadia Stacey, Mark Coulier and Josh Weston"
Poor Things,Production,PRODUCTION DESIGN,Production Design: James Price and Shona Heath; Set Decoration: Zsuzsa Mihalek
Porgy and Bess,Music,MUSIC (Original Song Score or Adaptation Score),"Andre Previn, Ken Darby"
Portrait of Jennie,Production,VISUAL EFFECTS,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart"
Precious Images,Title,SHORT FILM (Live Action),"Chuck Workman, Producer"
Precious: Based on the Novel 'Push' by Sapphire,Acting,ACTRESS IN A SUPPORTING ROLE,Mo'Nique
Precious: Based on the Novel 'Push' by Sapphire,Writing,WRITING (Adapted Screenplay),Screenplay by Geoffrey Fletcher
Prelude to War,Title,DOCUMENTARY (Feature),United States Army Special Services
Pride and Prejudice,Production,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse"
Princess O'Rourke,Writing,WRITING (Original Screenplay),Norman Krasna
Princeton: A Search for Answers,Title,DOCUMENTARY (Short Subject),"Julian Krainin and DeWitt L. Sage, Jr., Producers"
Prizzi's Honor,Acting,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston
Project Hope,Title,DOCUMENTARY (Short Subject),"Frank P. Bibas, Producer"
Promising Young Woman,Writing,WRITING (Original Screenplay),Written by Emerald Fennell
Pulp Fiction,Writing,WRITING (Original Screenplay),Screenplay by Quentin Tarantino; Stories by Quentin Tarantino & Roger Avary
Purple Rain,Music,MUSIC (Original Song Score or Adaptation Score),Prince
Pygmalion,Writing,WRITING (Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple"
Quest,Title,SHORT FILM (Animated),"Tyron Montgomery, Thomas Stellmach"
Quest for Fire,Production,MAKEUP AND HAIRSTYLING,"Sarah Monzani, Michèle Burke"
Quicker 'N a Wink,Title,SHORT SUBJECT (One-reel),"Pete Smith, Producer"
Quiero Ser (I want to be...),Title,SHORT FILM (Live Action),Florian Gallenberger
Quiet Please!,Title,SHORT FILM (Animated),"Frederick Quimby, Producer"
RRR,Music,MUSIC (Original Song),Music by M.M. Keeravaani; Lyric by Chandrabose
Raging Bull,Acting,ACTOR IN A LEADING ROLE,Robert De Niro
Raging Bull,Production,FILM EDITING,Thelma Schoonmaker
Raiders of the Lost Ark,Production,ART DIRECTION,"Art Direction: Norman Reynolds, Leslie Dilley; Set Decoration: Michael Ford"
